OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
2,2,3,-,533,-38,525,535.9,570.7,525,"2,040.00",350,1.5,4,175,-,-,42.85,-,-,3
-,-,-,-,-,-,525,496.65,531.45,525,"2,080.00",350,1.5,4.9,"1,400",-,-,-,-,-,3
-,-,-,-,-,-,525,457.45,492.2,525,"2,120.00",175,1.25,7.5,875,-,-,-,-,-,-
3,-,-,-,-,-,525,418.3,453.1,525,"2,160.00",875,1.35,7.8,875,-,-,-,-,-,9
-,-,-,-,-,-,700,398.85,433.65,525,"2,180.00",175,3.05,8,875,-1,3.5,33.63,12,-,25
-,-,-,-,-,-,700,379.4,414.25,700,"2,200.00",350,3.75,4,525,-1.8,3.95,33.07,76,33,243
-,-,-,-,-,-,700,360.1,394.95,700,"2,220.00",875,1.85,9.1,875,-,-,-,-,-,2
-,-,-,-,-,-,700,340.85,375.75,700,"2,240.00",175,4,6,175,-3.2,4.8,31.4,8,-3,52
-,-,-,-,-,-,875,321.8,356.65,700,"2,260.00",350,2.4,8.55,175,-9.6,5.55,30.9,7,-1,3
-,-,-,-,-,-,175,306.55,334.4,350,"2,280.00",175,4.85,7.65,175,-0.2,9,32.9,2,-,305
11,-,2,-,282.95,5.95,175,294.6,310.6,175,"2,300.00",700,7.7,7.85,350,-3.6,7.6,31.12,345,18,647
-,-,-,-,-,-,175,271.5,295.9,175,"2,320.00",175,8.4,9,"14,000",-5.15,8.85,30.59,19,4,16
-,-,-,-,-,-,700,253.2,277.05,350,"2,340.00",175,5.9,10.7,350,-4.95,10.65,30.23,259,-85,89
-,-,-,-,-,-,175,235.35,259.9,175,"2,360.00",175,12.25,13,175,-4.95,12.65,29.9,60,-4,221
-,-,-,-,-,-,175,218.1,243.3,175,"2,380.00",175,14,16.3,350,-8.6,14.9,29.08,27,16,19
189,1,60,-,215,29.6,175,209.15,215,350,"2,400.00",175,17.6,17.7,"1,225",-7.4,17.7,29.64,554,93,901
-,-,-,-,-,-,175,184.3,207.95,175,"2,420.00",175,20.1,22,175,-39.2,20.5,29.19,85,50,55
10,7,11,-,176,26,175,168,191.05,175,"2,440.00",175,23.25,24.9,175,-8.75,24,29.25,143,9,184
16,5,19,-,158.85,26,175,159.7,170.65,175,"2,460.00",350,27.55,29.9,350,-11.6,28.25,29.03,147,50,293
10,-,-,-,-,-,175,137.2,167.3,875,"2,480.00",350,31.85,35.35,350,-12.2,33.55,28.84,66,49,80
"1,682",315,751,8.71,135.55,17.75,175,133.35,136.45,175,"2,500.00",175,37.9,38.65,175,-13.3,38,28.88,"1,051",332,"1,714"
67,17,51,13.35,121.25,15.2,175,116.5,124.65,350,"2,520.00",175,43.25,45.05,350,-10.75,44.25,28.86,45,25,60
87,31,112,14.77,108,17.9,350,108,109.9,350,"2,540.00",350,47.25,51.25,175,-18.75,51.25,29.24,167,89,203
460,127,479,16.31,96,17.2,350,94.55,97.75,175,"2,560.00",175,57.95,60.65,350,-21.15,59,28.97,365,161,552
245,59,447,16.69,86.4,15.45,175,83.4,86.25,175,"2,580.00",175,66,70.9,175,-16.8,67.8,29.81,175,110,163
"2,515",540,"2,963",17.14,73.05,10.55,175,74.75,75.65,175,"2,600.00",175,76,78.6,350,-21.85,76.9,29.84,900,560,"1,687"
131,78,185,18,66.75,13.4,175,65.8,66.8,175,"2,620.00",175,86.5,90.5,350,-23,87,30.18,29,17,65
159,49,204,18.57,57.75,8.55,175,56.9,57.9,175,"2,640.00",175,97.6,103.3,350,-21.1,98,29.9,74,53,62
94,-64,242,18.89,50,9,175,49,60.6,350,"2,660.00",350,94.5,123,175,-,-,-,-,-,-
37,35,61,19.43,43.25,2.35,175,34.3,53.85,350,"2,680.00",350,116.65,135.65,175,-50.6,121.5,31.55,7,1,1
"2,119",179,"1,754",19.38,37.45,7.3,175,36.85,37.2,175,"2,700.00",175,135.8,138,175,-24.05,139.8,32.16,364,260,936
86,48,88,20.1,32,6.45,350,31.1,32.55,350,"2,720.00",175,140.5,165.1,175,-,-,-,-,-,-
858,854,"1,777",20.17,27.45,5.45,175,27.45,27.6,350,"2,740.00",350,154.85,180.75,175,-191.1,171,32.9,1,-,-
197,28,264,20.53,23.5,4.9,175,23.25,24.7,350,"2,760.00",175,180.4,187.1,350,-27.6,178.4,34.38,30,23,44
35,30,76,20.98,20,2.9,175,20,21.2,175,"2,780.00",175,186.75,213.05,175,-,-,-,-,-,-
"1,782",102,"1,979",21.17,17.25,2.8,350,17.15,17.35,"5,950","2,800.00",350,210.2,218,"1,750",-34.25,214.5,36.2,303,11,693
204,22,184,21.56,14.9,1.45,175,14.45,15,175,"2,820.00",175,221.45,247.55,175,-,-,-,-,-,5
326,58,285,22.03,12.7,2.1,175,12.65,12.95,525,"2,840.00",175,239.8,265.3,175,-,-,-,-,-,-
187,150,230,22.81,9.45,1.05,175,9.4,10.5,175,"2,880.00",175,277.65,301.15,175,-20,295,38.42,24,22,71
488,191,631,23.5,7.1,1.2,175,7.15,7.35,350,"2,920.00",350,317.05,342.1,350,-10.4,330,42.16,2,1,1
838,349,"1,222",23.59,5.05,0.15,700,5,5.15,525,"2,960.00",700,343.6,363.7,175,-29.55,361.1,44.95,"1,066",846,"1,424"
-,-,-,-,-,-,-,-,-,-,"3,120.00",175,514.6,517.85,175,-32.45,517.55,55.1,546,533,668
